Wlgth,"Reflectivity (P-Pol, 5°)",Wlgth,"GDD (P-Pol, 5°)"
900,81.58611,900,-2585.92
900.0938,80.94629,900.0938,-2636.48
900.1876,80.2674,900.1876,-2674.66
900.2815,79.54682,900.2815,-2696.64
900.3753,78.78172,900.3753,-2697.73
900.4692,77.96908,900.4692,-2672.13
900.5631,77.10572,900.5631,-2612.66
900.657,76.18824,900.657,-2510.45
900.7509,75.21309,900.7509,-2354.54
900.8449,74.17651,900.8449,-2131.41
900.9389,73.07463,900.9389,-1824.33
901.0329,71.90343,901.0329,-1412.67
901.1269,70.65882,901.1269,-870.985
901.2209,69.3367,901.2209,-167.895
901.315,67.93303,901.315,735.2212
901.409,66.44395,901.409,1885.818
901.5031,64.86592,901.5031,3342.037
901.5972,63.19592,901.5972,5174.833
901.6914,61.43165,901.6914,7470.305
901.7855,59.57187,901.7855,10332.1
901.8797,57.61668,901.8797,13883.58
901.9739,55.56804,901.9739,18269.18
902.0681,53.43017,902.0681,23653.93
902.1623,51.21019,902.1623,30219.49
902.2566,48.91868,902.2566,38153.76
902.3509,46.57039,902.3509,47629.79
902.4451,44.18483,902.4451,58767.23
902.5395,41.78689,902.5395,71567.49
902.6338,39.40725,902.6338,85811.81
902.7281,37.08254,902.7281,100913.6
902.8225,34.85513,902.8225,115729
902.9169,32.77241,902.9169,128359.9
903.0113,30.88547,903.0113,136048
903.1057,29.24712,903.1057,135339.4
903.2002,27.90929,903.2002,122749.8
903.2946,26.91995,903.2946,96033.28
903.3891,26.31978,903.3891,55739.45
903.4836,26.13899,903.4836,6165.297
903.5782,26.39472,903.5782,-45298
903.6727,27.08928,903.6727,-90527.3
903.7673,28.20973,903.7673,-123480
903.8619,29.72861,903.8619,-141798
903.9565,31.60603,903.9565,-146578
904.0511,33.79257,904.0511,-140971
904.1457,36.23272,904.1457,-128676
904.2404,38.86844,904.2404,-112949
904.3351,41.64234,904.3351,-96200.1
904.4298,44.50035,904.4298,-79984.9
904.5245,47.39367,904.5245,-65176.2
904.6193,50.27994,904.6193,-52167
904.714,53.12381,904.714,-41046
904.8088,55.89689,904.8088,-31727.5
904.9036,58.57737,904.9036,-24037.2
904.9984,61.14939,904.9984,-17767.1
905.0933,63.6022,905.0933,-12706
905.1881,65.92939,905.1881,-8656.55
905.283,68.12804,905.283,-5443.12
905.3779,70.19801,905.3779,-2913.89
905.4728,72.14128,905.4728,-940.405
905.5678,73.96142,905.5678,584.3826
905.6628,75.66308,905.6628,1748.748
905.7577,77.2517,905.7577,2624.89
905.8527,78.73314,905.8527,3271.501
905.9478,80.11349,905.9478,3736.065
906.0428,81.39888,906.0428,4056.859
906.1379,82.5954,906.1379,4264.643
906.2329,83.70893,906.2329,4384.077
906.3281,84.74515,906.3281,4434.881
906.4232,85.70945,906.4232,4432.8
906.5183,86.60695,906.5183,4390.373
906.6135,87.44244,906.6135,4317.571
906.7087,88.22042,906.7087,4222.298
906.8039,88.94507,906.8039,4110.807
906.8991,89.62029,906.8991,3988.028
906.9943,90.2497,906.9943,3857.83
907.0896,90.83666,907.0896,3723.238
907.1849,91.38426,907.1849,3586.602
907.2802,91.89536,907.2802,3449.732
907.3755,92.37263,907.3755,3314.009
907.4708,92.8185,907.4708,3180.475
907.5662,93.23524,907.5662,3049.9
907.6616,93.62492,907.6616,2922.839
907.757,93.98947,907.757,2799.68
907.8524,94.33067,907.8524,2680.676
907.9479,94.65016,907.9479,2565.979
