	Simulated 
	actual 
993	-220.9661278
993.0322847	-221.1944834
993.0645715	-221.4230685
993.0968604	-221.6518832
993.1291514	-221.8809275
993.1614445	-222.1102017
993.1937397	-222.3397056
993.226037	-222.5694393
993.2583364	-222.799403
993.2906379	-223.0295968
993.3229415	-223.2600205
993.3552472	-223.4906744
993.387555	-223.7215584
993.4198649	-223.9526727
993.4521769	-224.1840173
993.484491	-224.4155923
993.5168072	-224.6473977
993.5491255	-224.8794335
993.5814459	-225.1116999
993.6137684	-225.3441968
993.646093	-225.5769244
993.6784198	-225.8098826
993.7107486	-226.0430716
993.7430795	-226.2764914
993.7754125	-226.5101421
993.8077477	-226.7440236
993.8400849	-226.978136
993.8724243	-227.2124795
993.9047657	-227.4470539
993.9371093	-227.6818595
993.9694549	-227.9168961
994.0018027	-228.1521639
994.0341526	-228.387663
994.0665046	-228.6233932
994.0988586	-228.8593548
994.1312148	-229.0955477
994.1635731	-229.3319719
994.1959335	-229.5686276
994.228296	-229.8055147
994.2606607	-230.0426333
994.2930274	-230.2799833
994.3253962	-230.517565
994.3577671	-230.7553782
994.3901402	-230.993423
994.4225153	-231.2316994
994.4548926	-231.4702075
994.487272	-231.7089474
994.5196535	-231.9479189
994.552037	-232.1871222
994.5844227	-232.4265572
994.6168105	-232.6662241
994.6492005	-232.9061228
994.6815925	-233.1462533
994.7139866	-233.3866157
994.7463829	-233.62721
994.7787812	-233.8680362
994.8111817	-234.1090944
994.8435843	-234.3503844
994.875989	-234.5919065
994.9083958	-234.8336605
994.9408047	-235.0756464
994.9732157	-235.3178644
995.0056288	-235.5603144
995.0380441	-235.8029965
995.0704614	-236.0459105
995.1028809	-236.2890566
995.1353025	-236.5324347
995.1677262	-236.7760449
995.200152	-237.0198872
995.2325799	-237.2639615
995.2650099	-237.5082679
995.2974421	-237.7528063
995.3298763	-237.9975768
995.3623127	-238.2425794
995.3947512	-238.487814
995.4271918	-238.7332807
995.4596345	-238.9789794
995.4920794	-239.2249102
995.5245263	-239.4710731
995.5569754	-239.7174679
995.5894266	-239.9640948
995.6218798	-240.2109538
995.6543353	-240.4580447
995.6867928	-240.7053676
995.7192524	-240.9529225
995.7517142	-241.2007093
995.7841781	-241.4487281
995.8166441	-241.6969789
995.8491122	-241.9454615
995.8815824	-242.194176
995.9140547	-242.4431224
995.9465292	-242.6923006
995.9790058	-242.9417107
996.0114845	-243.1913525
996.0439653	-243.4412262
996.0764482	-243.6913315
996.1089333	-243.9416686
996.1414205	-244.1922374
996.1739098	-244.4430378
996.2064012	-244.6940698
996.2388947	-244.9453334
996.2713903	-245.1968286
996.3038881	-245.4485553
996.336388	-245.7005134
996.36889	-245.952703
996.4013941	-246.205124
996.4339004	-246.4577763
996.4664088	-246.71066
996.4989193	-246.9637749
996.5314319	-247.217121
996.5639466	-247.4706983
996.5964635	-247.7245067
996.6289825	-247.9785462
996.6615036	-248.2328167
996.6940268	-248.4873181
996.7265521	-248.7420505
996.7590796	-248.9970137
996.7916092	-249.2522078
996.8241409	-249.5076326
996.8566748	-249.763288
996.8892107	-250.0191741
996.9217488	-250.2752907
996.954289	-250.5316378
996.9868314	-250.7882154
997.0193758	-251.0450233
997.0519224	-251.3020615
997.0844711	-251.5593299
997.117022	-251.8168284
997.1495749	-252.0745571
997.18213	-252.3325157
997.2146872	-252.5907043
997.2472466	-252.8491227
997.2798081	-253.1077709
997.3123716	-253.3666487
997.3449374	-253.6257562
997.3775052	-253.8850932
997.4100752	-254.1446597
997.4426473	-254.4044554
997.4752215	-254.6644805
997.5077979	-254.9247347
997.5403764	-255.185218
997.572957	-255.4459303
997.6055397	-255.7068715
997.6381246	-255.9680415
997.6707116	-256.2294402
997.7033007	-256.4910675
997.735892	-256.7529233
997.7684853	-257.0150075
997.8010809	-257.27732
997.8336785	-257.5398607
997.8662783	-257.8026295
997.8988802	-258.0656262
997.9314842	-258.3288508
997.9640904	-258.5923032
997.9966987	-258.8559832
998.0293091	-259.1198908
998.0619217	-259.3840257
998.0945364	-259.648388
998.1271532	-259.9129774
998.1597721	-260.1777939
998.1923932	-260.4428373
998.2250164	-260.7081075
998.2576418	-260.9736044
998.2902693	-261.2393278
998.3228989	-261.5052776
998.3555306	-261.7714538
998.3881645	-262.0378561
998.4208005	-262.3044844
998.4534387	-262.5713385
998.486079	-262.8384185
998.5187214	-263.105724
998.5513659	-263.373255
998.5840126	-263.6410113
998.6166614	-263.9089927
998.6493124	-264.1771992
998.6819655	-264.4456306
998.7146207	-264.7142867
998.7472781	-264.9831674
998.7799376	-265.2522724
998.8125992	-265.5216018
998.845263	-265.7911552
998.8779289	-266.0609326
998.9105969	-266.3309338
998.9432671	-266.6011586
998.9759394	-266.8716068
999.0086139	-267.1422783
999.0412905	-267.4131729
999.0739692	-267.6842905
999.1066501	-267.9556309
999.1393331	-268.2271938
999.1720182	-268.4989792
999.2047055	-268.7709868
999.2373949	-269.0432165
999.2700865	-269.3156681
999.3027802	-269.5883413
999.335476	-269.8612361
999.368174	-270.1343522
999.4008741	-270.4076895
999.4335764	-270.6812476
999.4662808	-270.9550266
999.4989873	-271.229026
999.531696	-271.5032459
999.5644068	-271.7776859
999.5971198	-272.0523458
999.6298349	-272.3272255
999.6625521	-272.6023248
999.6952715	-272.8776434
999.727993	-273.1531811
999.7607167	-273.4289377
999.7934425	-273.7049131
999.8261705	-273.9811069
999.8589006	-274.257519
999.8916328	-274.5341492
999.9243672	-274.8109972
999.9571037	-275.0880628
999.9898424	-275.3653458
1000.022583	-275.642846
1000.055326	-275.9205631
1000.088071	-276.1984969
1000.120819	-276.4766471
1000.153568	-276.7550136
1000.186319	-277.033596
1000.219073	-277.3123943
1000.251829	-277.591408
1000.284587	-277.870637
1000.317347	-278.150081
1000.350109	-278.4297398
1000.382874	-278.7096131
1000.41564	-278.9897006
1000.448409	-279.2700022
1000.48118	-279.5505175
1000.513953	-279.8312463
1000.546728	-280.1121884
1000.579505	-280.3933434
1000.612285	-280.6747112
1000.645066	-280.9562913
1000.67785	-281.2380837
1000.710636	-281.5200879
1000.743424	-281.8023038
1000.776214	-282.084731
1000.809006	-282.3673692
1000.841801	-282.6502183
1000.874598	-282.9332778
1000.907396	-283.2165476
1000.940197	-283.5000273
1000.973	-283.7837167
1001.005806	-284.0676153
1001.038613	-284.3517231
1001.071422	-284.6360396
1001.104234	-284.9205645
1001.137048	-285.2052976
1001.169864	-285.4902385
1001.202682	-285.775387
1001.235502	-286.0607428
1001.268325	-286.3463054
1001.301149	-286.6320747
1001.333976	-286.9180502
1001.366805	-287.2042318
1001.399636	-287.490619
1001.432469	-287.7772115
1001.465305	-288.064009
1001.498142	-288.3510112
1001.530982	-288.6382178
1001.563824	-288.9256284
1001.596668	-289.2132427
1001.629514	-289.5010603
1001.662362	-289.789081
1001.695212	-290.0773043
1001.728065	-290.3657299
1001.76092	-290.6543575
1001.793777	-290.9431868
1001.826636	-291.2322173
1001.859497	-291.5214487
1001.89236	-291.8108807
1001.925226	-292.1005129
1001.958093	-292.390345
1001.990963	-292.6803765
1002.023835	-292.9706072
1002.056709	-293.2610366
1002.089586	-293.5516643
1002.122464	-293.8424901
1002.155345	-294.1335135
1002.188228	-294.4247342
1002.221112	-294.7161517
1002.254	-295.0077656
1002.286889	-295.2995757
1002.31978	-295.5915815
1002.352674	-295.8837826
1002.385569	-296.1761786
1002.418467	-296.4687691
1002.451367	-296.7615537
1002.48427	-297.0545321
1002.517174	-297.3477037
1002.55008	-297.6410683
1002.582989	-297.9346253
1002.6159	-298.2283745
1002.648813	-298.5223153
1002.681728	-298.8164473
1002.714645	-299.1107702
1002.747565	-299.4052835
1002.780487	-299.6999867
1002.81341	-299.9948795
1002.846336	-300.2899614
1002.879265	-300.585232
1002.912195	-300.8806908
1002.945127	-301.1763374
1002.978062	-301.4721714
1003.010999	-301.7681923
1003.043938	-302.0643997
1003.076879	-302.3607931
1003.109822	-302.657372
1003.142767	-302.9541361
1003.175715	-303.2510847
1003.208665	-303.5482176
1003.241617	-303.8455342
1003.274571	-304.1430341
1003.307527	-304.4407167
1003.340486	-304.7385816
1003.373446	-305.0366284
1003.406409	-305.3348565
1003.439374	-305.6332655
1003.472341	-305.9318549
1003.50531	-306.2306242
1003.538282	-306.5295728
1003.571255	-306.8287004
1003.604231	-307.1280065
1003.637209	-307.4274904
1003.670189	-307.7271518
1003.703171	-308.02699
1003.736156	-308.3270047
1003.769142	-308.6271953
1003.802131	-308.9275613
1003.835122	-309.2281021
1003.868115	-309.5288173
1003.90111	-309.8297062
1003.934108	-310.1307685
1003.967107	-310.4320036
1004.000109	-310.7334109
1004.033113	-311.0349899
1004.066119	-311.3367401
