Wlgth	Rp _	Wlgth	GDDrs _
800	99.02650587	800	-16219.43177
800.1358822	99.16274171	800.1358822	-2282.485647
800.2718105	99.17790305	800.2718105	869.1265956
800.407785	99.09610865	800.407785	1079.447755
800.5438057	98.97209928	800.5438057	1185.226836
800.6798727	98.82778406	800.6798727	1296.320445
800.8159859	98.67885183	800.8159859	1295.269673
800.9521454	98.54179527	800.9521454	1076.27328
801.0883512	98.43330684	801.0883512	623.4220317
801.2246034	98.36635494	801.2246034	42.25946308
801.3609019	98.34620843	801.3609019	-495.646519
801.4972468	98.36933791	801.4972468	-857.2691463
801.6336381	98.4258415	801.6336381	-1007.787495
801.7700758	98.50351607	801.7700758	-991.7156669
801.90656	98.591239	801.90656	-880.3598844
802.0430906	98.68062828	802.0430906	-733.8597807
802.1796678	98.76624725	802.1796678	-589.1821144
802.3162915	98.84506487	802.3162915	-463.4905673
802.4529617	98.91573287	802.4529617	-361.602472
802.5896785	98.9779571	802.5896785	-282.1801384
802.7264418	99.03204215	802.7264418	-221.5464829
802.8632518	99.0785956	802.8632518	-175.6351271
803.0001085	99.11835106	803.0001085	-140.8195155
803.1370118	99.15207082	803.1370118	-114.1690045
803.2739618	99.18049834	803.2739618	-93.45285627
803.4109585	99.20434072	803.4109585	-77.05654014
803.5480019	99.22426845	803.5480019	-63.88536506
803.6850921	99.24092465	803.6850921	-53.28431762
803.8222291	99.25493912	803.8222291	-44.98022099
803.9594129	99.26694364	803.9594129	-39.04059086
804.0966435	99.27758595	804.0966435	-35.83623547
804.233921	99.28753977	804.233921	-35.98903181
804.3712454	99.29750749	804.3712454	-40.28273823
804.5086167	99.30821263	804.5086167	-49.51618571
804.6460349	99.32037857	804.6460349	-64.28963875
804.7835	99.3346921	804.7835	-84.74074851
804.9210122	99.35175253	804.9210122	-110.2846922
805.0585713	99.37201159	805.0585713	-139.4504119
805.1961775	99.39571406	805.1961775	-169.9156532
805.3338307	99.42285239	805.3338307	-198.8020218
805.4715309	99.453149	805.4715309	-223.1956512
805.6092783	99.48607485	805.6092783	-240.7488147
805.7470728	99.52090443	805.7470728	-250.1594342
805.8849145	99.55679736	805.8849145	-251.3649214
806.0228033	99.59288982	806.0228033	-245.4075369
806.1607393	99.62837809	806.1607393	-234.059394
806.2987225	99.66258058	806.2987225	-219.3653602
806.436753	99.69497256	806.436753	-203.2495525
806.5748307	99.7251946	806.5748307	-187.2656231
806.7129558	99.75304106	806.7129558	-172.4997189
806.8511281	99.77843623	806.8511281	-159.5892206
806.9893478	99.80140539	806.9893478	-148.8061909
807.1276148	99.82204618	807.1276148	-140.1618573
807.2659293	99.84050331	807.2659293	-133.5041681
807.4042911	99.85694813	807.4042911	-128.5953524
807.5427004	99.87156319	807.5427004	-125.1667007
807.6811572	99.8845313	807.6811572	-122.9532729
807.8196614	99.89602834	807.8196614	-121.7132604
807.9582131	99.90621886	807.9582131	-121.2367569
808.0968124	99.91525374	808.0968124	-121.3478569
808.2354593	99.92326937	808.2354593	-121.9029527
808.3741537	99.93038774	808.3741537	-122.7871597
808.5128957	99.93671704	808.5128957	-123.9100694
808.6516854	99.94235276	808.6516854	-125.2015218
808.7905227	99.94737874	808.7905227	-126.6077483
808.9294077	99.95186846	808.9294077	-128.0880336
809.0683404	99.95588614	809.0683404	-129.6119231
809.2073209	99.95948791	809.2073209	-131.1569435
809.3463491	99.96272272	809.3463491	-132.7067739
809.4854251	99.96563334	809.4854251	-134.2497977
809.6245488	99.96825709	809.6245488	-135.7779674
809.7637205	99.97062662	809.7637205	-137.2859227
809.9029399	99.97277046	809.9029399	-138.770309
810.0422073	99.97471361	810.0422073	-140.229254
810.1815225	99.97647798	810.1815225	-141.6619684
810.3208857	99.97808282	810.3208857	-143.0684418
810.4602969	99.97954504	810.4602969	-144.4492134
810.599756	99.98087956	810.599756	-145.8051986
810.7392631	99.98209952	810.7392631	-147.1375604
810.8788182	99.98321654	810.8788182	-148.4476133
811.0184214	99.9842409	811.0184214	-149.7367527
811.1580727	99.98518172	811.1580727	-151.006404
811.2977721	99.98604708	811.2977721	-152.2579853
811.4375196	99.98684419	811.4375196	-153.4928825
811.5773152	99.98757946	811.5773152	-154.7124312
811.7171591	99.98825861	811.7171591	-155.9179052
811.8570511	99.98888677	811.8570511	-157.1105105
811.9969914	99.9894685	811.9969914	-158.2913806
812.1369799	99.99000792	812.1369799	-159.4615764
812.2770166	99.99050871	812.2770166	-160.6220861
812.4171017	99.99097419	812.4171017	-161.7738272
812.5572352	99.99140735	812.5572352	-162.9176492
812.6974169	99.99181088	812.6974169	-164.0543364
812.8376471	99.99218721	812.8376471	-165.1846116
812.9779256	99.99253856	812.9779256	-166.3091393
813.1182526	99.99286691	813.1182526	-167.4285293
813.258628	99.99317408	813.258628	-168.5433405
813.3990519	99.9934617	813.3990519	-169.6540838
813.5395243	99.99373127	813.5395243	-170.7612257
813.6800452	99.99398416	813.6800452	-171.8651912
813.8206147	99.9942216	813.8206147	-172.9663668
813.9612328	99.99444473	813.9612328	-174.0651031
814.1018994	99.99465459	814.1018994	-175.1617173
814.2426147	99.99485211	814.2426147	-176.2564955
814.3833786	99.99503817	814.3833786	-177.3496953
814.5241913	99.99521357	814.5241913	-178.4415472
814.6650526	99.99537903	814.6650526	-179.5322567
814.8059626	99.99553523	814.8059626	-180.622006
814.9469214	99.99568279	814.9469214	-181.7109558
815.087929	99.99582226	815.087929	-182.7992461
815.2289854	99.99595419	815.2289854	-183.8869982
815.3700906	99.99607905	815.3700906	-184.9743154
815.5112447	99.99619728	815.5112447	-186.0612844
815.6524477	99.99630931	815.6524477	-187.1479762
815.7936995	99.99641551	815.7936995	-188.2344469
815.9350003	99.99651624	815.9350003	-189.3207387
816.0763501	99.99661182	816.0763501	-190.4068808
816.2177488	99.99670257	816.2177488	-191.4928897
816.3591965	99.99678875	816.3591965	-192.5787703
816.5006933	99.99687064	816.5006933	-193.6645161
816.6422391	99.99694848	816.6422391	-194.75011
816.7838341	99.9970225	816.7838341	-195.8355248
816.9254781	99.99709291	816.9254781	-196.9207233
817.0671712	99.99715989	817.0671712	-198.0056592
817.2089136	99.99722365	817.2089136	-199.0902773
817.3507051	99.99728435	817.3507051	-200.1745135
817.4925458	99.99734215	817.4925458	-201.2582957
817.6344357	99.99739719	817.6344357	-202.3415439
817.776375	99.99744963	817.776375	-203.4241701
817.9183635	99.99749958	817.9183635	-204.5060789
818.0604013	99.99754718	818.0604013	-205.587168
818.2024885	99.99759254	818.2024885	-206.6673276
818.344625	99.99763576	818.344625	-207.7464414
818.4868109	99.99767694	818.4868109	-208.8243864
818.6290463	99.99771619	818.6290463	-209.901033
818.7713311	99.99775358	818.7713311	-210.9762455
818.9136653	99.99778921	818.9136653	-212.0498818
819.0560491	99.99782315	819.0560491	-213.1217938
819.1984823	99.99785547	819.1984823	-214.1918278
819.3409652	99.99788625	819.3409652	-215.2598239
819.4834975	99.99791554	819.4834975	-216.3256167
819.6260795	99.99794342	819.6260795	-217.3890354
819.7687111	99.99796993	819.7687111	-218.4499035
819.9113924	99.99799513	819.9113924	-219.5080394
820.0541233	99.99801908	820.0541233	-220.5632559
820.196904	99.99804182	820.196904	-221.615361
820.3397344	99.99806339	820.3397344	-222.6641574
820.4826145	99.99808385	820.4826145	-223.7094431
820.6255444	99.99810322	820.6255444	-224.7510109
820.7685241	99.99812156	820.7685241	-225.788649
820.9115536	99.99813889	820.9115536	-226.8221409
821.054633	99.99815525	821.054633	-227.8512654
821.1977623	99.99817067	821.1977623	-228.875797
821.3409415	99.99818519	821.3409415	-229.8955057
821.4841706	99.99819882	821.4841706	-230.910157
821.6274497	99.99821161	821.6274497	-231.9195124
821.7707788	99.99822357	821.7707788	-232.9233293
821.9141579	99.99823473	821.9141579	-233.921361
822.0575871	99.99824512	822.0575871	-234.9133569
822.2010663	99.99825475	822.2010663	-235.8990627
822.3445956	99.99826365	822.3445956	-236.8782204
822.488175	99.99827183	822.488175	-237.8505684
822.6318045	99.99827933	822.6318045	-238.8158418
822.7754843	99.99828615	822.7754843	-239.7737723
822.9192142	99.99829231	822.9192142	-240.7240885
823.0629944	99.99829784	823.0629944	-241.666516
823.2068248	99.99830274	823.2068248	-242.6007774
823.3507055	99.99830703	823.3507055	-243.5265929
823.4946365	99.99831074	823.4946365	-244.4436798
823.6386178	99.99831387	823.6386178	-245.3517533
823.7826495	99.99831643	823.7826495	-246.2505262
823.9267315	99.99831845	823.9267315	-247.1397093
824.070864	99.99831994	824.070864	-248.0190117
824.2150469	99.99832091	824.2150469	-248.8881405
824.3592803	99.99832137	824.3592803	-249.7468018
824.5035642	99.99832134	824.5035642	-250.5947
824.6478985	99.99832083	824.6478985	-251.4315388
824.7922834	99.99831986	824.7922834	-252.257021
824.9367189	99.99831844	824.9367189	-253.0708486
825.081205	99.99831658	825.081205	-253.8727236
825.2257417	99.9983143	825.2257417	-254.6623477
825.3703291	99.99831161	825.3703291	-255.4394227
825.5149671	99.99830853	825.5149671	-256.203651
825.6596558	99.99830507	825.6596558	-256.9547354
825.8043953	99.99830125	825.8043953	-257.69238
825.9491855	99.99829709	825.9491855	-258.4162897
826.0940265	99.9982926	826.0940265	-259.1261714
826.2389183	99.99828779	826.2389183	-259.8217334
826.3838609	99.9982827	826.3838609	-260.5026863
826.5288544	99.99827734	826.5288544	-261.1687431
826.6738988	99.99827172	826.6738988	-261.8196196
826.8189941	99.99826587	826.8189941	-262.4550345
826.9641404	99.99825981	826.9641404	-263.0747099
827.1093376	99.99825357	827.1093376	-263.6783717
827.2545858	99.99824717	827.2545858	-264.2657498
827.399885	99.99824063	827.399885	-264.8365782
827.5452353	99.99823398	827.5452353	-265.390596
827.6906367	99.99822725	827.6906367	-265.9275469
827.8360891	99.99822046	827.8360891	-266.4471804
827.9815927	99.99821365	827.9815927	-266.9492512
828.1271475	99.99820684	828.1271475	-267.4335204
828.2727534	99.99820008	828.2727534	-267.8997552
828.4184106	99.99819338	828.4184106	-268.3477296
828.564119	99.99818679	828.564119	-268.7772246
828.7098786	99.99818034	828.7098786	-269.1880285
828.8556896	99.99817407	828.8556896	-269.5799373
829.0015518	99.99816801	829.0015518	-269.9527547
829.1474654	99.9981622	829.1474654	-270.3062929
829.2934304	99.99815667	829.2934304	-270.6403726
829.4394468	99.99815148	829.4394468	-270.9548235
829.5855146	99.99814664	829.5855146	-271.2494841
829.7316339	99.99814221	829.7316339	-271.5242026
829.8778046	99.99813822	829.8778046	-271.778837
830.0240269	99.99813471	830.0240269	-272.0132551
830.1703007	99.99813171	830.1703007	-272.2273351
830.3166261	99.99812927	830.3166261	-272.4209659
830.463003	99.99812741	830.463003	-272.5940471
830.6094316	99.99812617	830.6094316	-272.7464896
830.7559118	99.99812558	830.7559118	-272.8782158
830.9024437	99.99812568	830.9024437	-272.9891598
831.0490273	99.99812648	831.0490273	-273.0792679
831.1956626	99.99812802	831.1956626	-273.1484985
831.3423497	99.99813032	831.3423497	-273.1968232
831.4890886	99.9981334	831.4890886	-273.2242264
831.6358792	99.99813727	831.6358792	-273.2307058
831.7827218	99.99814195	831.7827218	-273.2162732
831.9296161	99.99814745	831.9296161	-273.1809542
832.0765624	99.99815377	832.0765624	-273.1247891
832.2235606	99.99816092	832.2235606	-273.0478327
832.3706107	99.99816889	832.3706107	-272.9501554
832.5177128	99.99817769	832.5177128	-272.8318426
832.6648669	99.99818729	832.6648669	-272.692996
832.8120731	99.99819769	832.8120731	-272.5337331
832.9593313	99.99820888	832.9593313	-272.354188
833.1066416	99.99822083	833.1066416	-272.1545113
833.254004	99.99823352	833.254004	-271.9348707
833.4014185	99.99824692	833.4014185	-271.6954509
833.5488852	99.998261	833.5488852	-271.4364538
833.6964042	99.99827574	833.6964042	-271.1580989
833.8439753	99.99829109	833.8439753	-270.8606229
833.9915987	99.99830702	833.9915987	-270.5442801
834.1392743	99.99832349	834.1392743	-270.2093422
834.2870023	99.99834047	834.2870023	-269.8560983
834.4347826	99.9983579	834.4347826	-269.484855
834.5826153	99.99837575	834.5826153	-269.0959356
834.7305003	99.99839398	834.7305003	-268.6896808
834.8784378	99.99841253	834.8784378	-268.2664477
835.0264277	99.99843137	835.0264277	-267.82661
835.1744701	99.99845046	835.1744701	-267.3705573
835.322565	99.99846974	835.322565	-266.8986954
835.4707125	99.99848919	835.4707125	-266.411445
835.6189125	99.99850875	835.6189125	-265.9092421
835.767165	99.99852839	835.767165	-265.3925373
835.9154702	99.99854807	835.9154702	-264.8617952
836.0638281	99.99856775	836.0638281	-264.317494
836.2122386	99.9985874	836.2122386	-263.7601253
836.3607018	99.99860698	836.3607018	-263.1901932
836.5092177	99.99862645	836.5092177	-262.6082136
836.6577864	99.9986458	836.6577864	-262.0147146
836.8064079	99.99866499	836.8064079	-261.4102346
836.9550821	99.99868399	836.9550821	-260.7953228
837.1038092	99.99870277	837.1038092	-260.1705381
837.2525892	99.99872132	837.2525892	-259.5364486
837.4014221	99.99873962	837.4014221	-258.8936308
837.5503079	99.99875763	837.5503079	-258.2426693
837.6992467	99.99877535	837.6992467	-257.5841556
837.8482384	99.99879276	837.8482384	-256.9186881
837.9972831	99.99880984	837.9972831	-256.2468709
838.1463809	99.99882658	838.1463809	-255.569313
838.2955318	99.99884296	838.2955318	-254.8866282
838.4447357	99.99885898	838.4447357	-254.1994336
838.5939927	99.99887463	838.5939927	-253.5083493
838.743303	99.9988899	838.743303	-252.8139977
838.8926663	99.99890478	838.8926663	-252.1170023
839.0420829	99.99891926	839.0420829	-251.4179873
839.1915528	99.99893334	839.1915528	-250.7175766
839.3410759	99.99894702	839.3410759	-250.016393
839.4906522	99.99896029	839.4906522	-249.3150574
839.6402819	99.99897315	839.6402819	-248.614188
839.789965	99.99898559	839.789965	-247.9143994
839.9397014	99.99899762	839.9397014	-247.216302
840.0894913	99.99900923	840.0894913	-246.5205006
840.2393345	99.99902043	840.2393345	-245.8275942
840.3892313	99.9990312	840.3892313	-245.1381746
