Wlgth,GDDrp5deg,GDDrp19deg
400,502441.9072,10682.32212
400.115466,-2124933.798,7571.581512
400.2309987,-203351.845,5526.394381
400.3465982,-24786.50262,4130.321957
400.4622645,3542.841086,3144.628746
400.5779976,11847.96367,2426.992323
400.6937976,14416.19121,1889.480032
400.8096646,14479.13831,1475.962644
400.9255986,13341.85826,1149.522639
401.0415997,11716.36254,885.1914645
401.1576679,9995.759957,665.6263454
401.2738034,8372.3443,478.4604166
401.3900061,6919.71086,314.6331439
401.5062762,5648.211578,167.3101154
401.6226136,4537.933919,31.16536443
401.7390184,3555.992742,-98.10892503
401.8554908,2664.199832,-224.1478596
401.9720307,1821.093555,-350.1659352
402.0886382,980.3808707,-479.1484333
402.2053134,86.34095399,-614.0026919
402.3220563,-934.6121561,-757.6813307
402.438867,-2188.756423,-913.282249
402.5557456,-3841.939238,-1084.122036
402.6726921,-6170.75135,-1273.767573
402.7897065,-9665.596657,-1485.990681
402.906789,-15252.59116,-1724.575169
403.0239395,-24817.16931,-1992.841122
403.1411582,-42646.15359,-2292.634392
403.2584451,-80663.8006,-2622.320572
403.3758003,-183844.749,-2972.962576
403.4932238,-393810.59,-3321.278167
403.6107157,364246.5425,-3617.152693
403.728276,203408.9572,-3762.70457
403.8459048,91938.93628,-3580.432685
403.9636022,50338.55564,-2773.607688
404.0813682,30142.62094,-901.54729
404.1992029,19133.10452,2559.298141
404.3171064,12737.05005,7905.640635
404.4350786,8827.252584,14375.40801
404.5531197,6326.89369,18706.16626
404.6712298,4661.828356,14887.22989
404.7894088,3511.99347,333.8836406
404.9076569,2691.492566,-16028.649
405.025974,2088.194748,-23707.18185
405.1443604,1632.082513,-23056.38708
405.2628159,1278.028886,-19051.10467
405.3813408,996.0878661,-14600.31562
405.499935,765.8367916,-10484.71597
405.6185986,572.9770678,-6712.577129
405.7373317,407.2325814,-3225.26893
405.8561343,261.0147774,-78.29124034
405.9750065,128.5520967,2597.208827
406.0939484,5.306802326,4682.169179
406.2129599,-112.4272168,6128.382834
406.3320413,-227.8113636,6969.770141
406.4511925,-343.6756736,7300.693969
406.5704136,-462.6858731,7243.384902
406.6897046,-587.4826661,6919.915809
406.8090657,-720.8063371,6434.908151
406.9284969,-865.6163101,5868.631421
407.0479982,-1025.212918,5277.258004
407.1675697,-1203.366564,4696.756558
407.2872115,-1404.456813,4147.853693
407.4069236,-1633.619502,3640.635244
407.5267061,-1896.891418,3178.217194
407.646559,-2201.325555,2759.410705
407.7664825,-2555.017974,2380.524719
407.8864766,-2966.926683,2036.508456
408.0065413,-3446.250281,1721.620187
408.1266767,-4000.930638,1429.767282
408.2468829,-4634.49154,1154.619099
408.3671599,-5339.857996,889.5575562
408.4875078,-6088.006429,627.5023056
408.6079266,-6808.514099,360.6284532
408.7284165,-7359.242459,79.98663498
408.8489775,-7485.678642,-224.9540424
408.9696095,-6779.447304,-566.7662238
409.0903128,-4656.625878,-960.2932012
409.2110874,-366.0894605,-1421.974321
409.3319333,7025.307635,-1966.424846
409.4528506,18715.49152,-2595.278581
409.5738394,35433.50425,-3264.642925
409.6948997,50728.68187,-3792.964284
409.8160315,34305.73142,-3598.418328
409.9372351,-26001.14868,-924.7982836
410.0585103,-55247.2195,9603.888912
410.1798573,-43376.38412,45630.7217
410.3012761,-25575.38403,164169.6168
410.4227669,-12611.33513,218477.4248
410.5443296,-4179.708398,-276967.7038
410.6659644,1227.509331,-108250.9367
410.7876712,4645.220518,-28229.21935
410.9094502,6684.779257,-4654.142026
411.0313015,7728.838437,2136.177415
411.153225,8055.72631,3692.60429
411.2752209,7891.614053,3606.254678
411.3972892,7421.355851,3061.726537
411.51943,6786.937424,2450.714287
411.6416433,6088.375834,1892.424104
411.7639292,5389.729111,1412.096091
411.8862878,4727.723594,1004.162849
412.0087192,4120.235239,654.6665421
412.1312234,3573.160994,348.9084145
412.2538004,3085.351939,73.70948747
412.3764504,2651.862049,-182.2526341
412.4991733,2265.938593,-428.741949
412.6219694,1920.151212,-674.4263886
412.7448385,1606.96231,-927.3432109
412.8677809,1318.945461,-1195.321363
412.9907965,1048.782012,-1486.353288
413.1138855,789.1117007,-1808.91578
413.2370478,532.2771421,-2172.231466
413.3602836,269.9817694,-2586.444022
413.483593,-7.122257822,-3062.6516
413.6069759,-309.8729174,-3612.704651
413.7304325,-650.9260387,-4248.633897
413.8539628,-1044.56791,-4981.559695
413.9775669,-1504.894531,-5820.019876
414.1012448,-2039.321899,-6767.996341
414.2249967,-2629.153167,-7823.769103
414.3488225,-3174.214707,-8982.250887
414.4727224,-3335.776162,-10245.0199
414.5966965,-2081.977838,-11640.52477
414.7207447,3678.262602,-13242.57355
414.8448671,23418.35575,-15130.94363
414.9690639,86023.71317,-17150.22673
415.0933351,215071.9733,-18264.20328
415.2176807,-93544.8738,-15737.65261
415.3421009,-171131.6815,-6173.490466
415.4665956,-55571.45069,9318.308895
415.591165,-13633.60984,23053.03641
415.7158091,-722.7929566,29667.75053
415.840528,2857.965647,31142.81953
415.9653218,3435.000968,31763.31794
416.0901905,3093.107349,34106.9399
416.2151341,2529.156694,37645.3488
416.3401529,1967.909761,36124.51565
416.4652467,1471.087219,18365.38378
416.5904158,1045.201531,-11749.99734
416.7156601,679.7124818,-29559.06912
416.8409797,360.3287887,-28777.22523
416.9663748,73.30207784,-20597.54276
417.0918453,-193.5305159,-12415.67514
417.2173913,-450.8332806,-6220.299654
417.3430129,-708.210566,-2026.84742
417.4687103,-974.7246451,584.6758199
417.5944833,-1259.410535,2059.350165
417.7203322,-1571.77483,2771.950193
417.8462569,-1922.287069,3006.69562
417.9722576,-2322.872582,2962.479581
418.0983343,-2787.402791,2769.274153
418.2244871,-3332.15112,2507.033929
418.350716,-3976.132199,2222.147283
418.4770211,-4741.15607,1939.75781
418.6034026,-5651.290703,1672.16902
418.7298604,-6731.219463,1424.229219
418.8563946,-8002.696192,1196.629096
418.9830053,-9477.919068,987.8481264
419.1096926,-11147.98101,795.2619453
