wl,GDp,GDs
550.0779,13.01398,13.80279
551.76526,19.9843,21.01157
553.463,31.30109,32.14122
555.17122,41.0479,40.4836
556.89001,18.82831,19.49437
558.61949,14.28414,18.95371
560.35973,40.74356,42.76894
562.11086,41.60081,39.54534
563.87296,33.737,32.24517
565.64615,27.45477,26.99664
567.43052,23.2585,23.60303
569.22619,20.74924,20.9842
571.03325,20.39893,21.45732
572.85183,38.74192,45.38094
574.68203,54.34433,55.66893
576.52396,43.62262,38.53424
578.37773,31.84762,30.04337
580.24347,24.78443,22.99285
582.12128,18.05619,16.59915
584.01128,13.35474,12.44248
585.9136,10.32363,9.67892
587.82835,7.72754,7.18219
589.75566,5.80608,5.5696
591.69564,5.42762,5.57194
593.64843,5.93151,6.12631
595.61415,6.13196,6.22244
597.59294,6.1047,6.16972
599.58492,6.11647,6.15381
601.59022,5.98861,5.98932
603.60898,5.75504,5.75604
605.64133,5.63877,5.684
607.68741,5.61208,5.71108
609.74737,5.50053,5.58115
611.82134,5.37594,5.38482
613.90947,5.43055,5.42239
616.0119,5.53071,5.58588
618.12878,5.56185,5.67336
620.26026,5.59768,5.64488
622.40649,5.70546,5.59788
624.56762,5.72352,5.38119
626.74381,5.97934,5.3761
628.93523,7.93737,7.02991
631.14202,8.62404,7.85614
633.36435,5.37511,5.84551
635.60238,4.27376,5.55505
637.85629,6.46222,7.44001
640.12624,7.45547,8.05413
642.41241,7.63421,8.00306
644.71496,7.96667,8.17958
647.03408,8.31007,8.39723
649.36995,8.68653,8.75782
651.72273,9.14448,9.27813
654.09264,9.66686,9.81556
656.47983,10.16929,10.25019
658.88452,10.72082,10.77591
661.30689,11.39999,11.46912
663.74714,12.15294,12.21353
666.20546,12.90797,12.99321
668.68206,13.71057,13.84151
671.17714,14.617,14.74021
673.69092,15.62624,15.71443
676.22359,16.72962,16.78756
678.77538,17.8456,17.87969
681.3465,18.93949,18.9576
683.93717,20.05201,20.05061
686.54761,21.14187,21.12363
689.17806,22.17741,22.14258
691.82875,23.15157,23.1018
694.4999,23.98481,23.91685
697.19176,24.64132,24.51486
699.90457,25.17324,24.98143
702.63857,25.57514,25.3792
705.39402,25.81627,25.64973
708.17116,25.98931,25.83835
710.97026,26.18117,26.03937
713.79157,26.39076,26.26741
716.63536,26.6909,26.58447
719.5019,27.14314,27.07136
722.39147,27.73484,27.68183
725.30433,28.49704,28.42225
728.24079,29.43118,29.40262
731.20112,30.5373,30.57257
734.18561,31.78714,31.83708
737.19457,33.11494,33.15814
740.22829,34.40236,34.44071
743.28709,35.50599,35.58072
746.37126,36.37353,36.46903
747.40502,36.67898,36.80578
749.48114,37.03837,37.1383
751.56884,37.26124,37.33817
753.66819,37.35805,37.41753
755.77931,37.36199,37.41479
757.90228,37.27705,37.30499
760.03722,37.16681,37.14558
762.18422,37.12745,37.07305
764.34338,37.16074,37.07732
766.51481,37.26983,37.16204
768.69861,37.49739,37.39482
770.89489,37.87682,37.76868
773.10376,38.39814,38.28605
775.32532,39.04679,38.96135
777.55969,39.82353,39.76893
779.80697,40.69499,40.68269
782.06728,41.61972,41.67752
784.34073,42.57352,42.70955
786.62744,43.50268,43.70285
788.92752,44.31586,44.56446
791.24109,44.95832,45.24377
793.56827,45.41262,45.72715
795.90918,45.66834,45.98906
798.26394,45.72924,46.02065
800.63268,45.60814,45.85471
803.01551,45.39615,45.5784
805.41257,45.17947,45.27177
807.82399,44.99092,44.98231
810.24989,44.89581,44.79014
812.6904,44.94625,44.77461
815.14566,45.17953,44.98662
817.61579,45.62669,45.44475
820.10095,46.26001,46.10962
822.60126,47.0715,46.97455
825.11686,48.03098,48.02262
827.64789,49.02808,49.14163
830.1945,50.00096,50.2464
832.75683,50.86755,51.25566
835.33502,51.52274,52.05287
837.92923,51.94246,52.55833
840.5396,52.11721,52.7341
843.16629,52.05379,52.60467
845.80944,51.81542,52.25455
848.46922,51.49484,51.78691
851.14578,51.18794,51.31077
853.83928,50.97937,50.93639
856.54988,50.94961,50.76376
859.27775,51.14924,50.86196
862.02304,51.58541,51.27132
864.78594,52.2592,51.99123
867.5666,53.1237,52.95107
870.3652,54.07069,54.05345
873.18192,55.00251,55.20401
876.01692,55.81882,56.25984
878.8704,56.42448,57.0792
881.74252,56.77701,57.58571
884.63348,56.86501,57.73369
887.54346,56.71452,57.5361
890.47265,56.41912,57.10214
893.42123,56.10852,56.58076
896.38941,55.89437,56.10321
899.37737,55.86804,55.80526
902.38533,56.09703,55.81581
905.41346,56.6064,56.18887
908.46199,57.37753,56.91382
911.53112,58.33271,57.93541
914.62106,59.3546,59.14429
917.73201,60.31667,60.38914
920.86421,61.07327,61.48105
924.01785,61.49838,62.23613
927.19317,61.56916,62.55009
930.39039,61.34947,62.43018
933.60973,60.9336,61.96259
936.85143,60.45751,61.29654
940.11572,60.09236,60.64238
943.40284,59.97723,60.19615
946.71303,60.17977,60.0899
950.04652,60.72882,60.39426
953.40358,61.58811,61.1098
956.78444,62.62683,62.15844
