wl,Rp,Rs
500,63.87187,92.27659
500.5,61.29604,91.88512
501,58.77146,91.08581
501.5,56.34482,89.694
502,54.03401,87.35684
502.5,51.86627,83.96959
503,49.84437,81.10141
503.5,47.95594,77.97922
504,46.23593,74.79984
504.5,44.72077,71.80066
505,43.43789,69.11766
505.5,42.43729,66.82303
506,41.75205,64.95896
506.5,41.29385,63.51884
507,41.01595,62.5213
507.5,40.86597,61.92002
508,40.78504,61.65742
508.5,40.7674,61.55047
509,40.75796,61.29978
509.5,40.77963,60.58511
510,40.86982,59.10628
510.5,41.01326,56.71314
511,41.22901,53.39668
511.5,41.5475,49.34081
512,42.00227,44.84582
512.5,42.61714,40.21965
513,43.42123,35.79241
513.5,44.39386,31.75418
514,45.52721,28.30001
514.5,46.72326,25.52251
515,47.93239,23.49931
515.5,49.02939,22.29957
516,49.95586,21.92395
516.5,50.7336,22.3716
517,51.31686,23.53336
517.5,51.76565,25.28402
518,52.10434,27.46274
518.5,52.35758,29.93998
519,52.53192,32.63161
519.5,52.61649,35.4776
520,52.56486,38.4765
520.5,52.35481,41.62315
521,51.92332,44.89464
521.5,51.29989,48.28182
522,50.47259,51.70933
522.5,49.49259,55.06215
523,48.45565,58.18608
523.5,47.41576,60.95221
524,46.46676,63.24045
524.5,45.67401,64.96589
525,45.01966,66.07552
525.5,44.54998,66.54075
526,44.24365,66.37099
526.5,44.11668,65.58477
527,44.10329,64.21779
527.5,44.24121,62.32323
528,44.49131,60.00651
528.5,44.87085,57.39127
529,45.39584,54.59907
529.5,46.04274,51.74394
530,46.79353,48.94199
530.5,47.66268,46.26495
531,48.60363,43.75591
531.5,49.56834,41.42001
532,50.53817,39.27744
532.5,51.46269,37.29844
533,52.31615,35.47109
533.5,53.08432,33.76831
534,53.80623,32.22588
534.5,54.49115,30.89051
535,55.20765,29.87604
535.5,55.95727,29.3124
536,56.80143,29.30946
536.5,57.72493,29.96279
537,58.72934,31.33227
537.5,59.74477,33.40159
538,60.6788,36.16112
538.5,61.4656,39.53841
539,62.02796,43.42785
539.5,62.31288,47.67709
540,62.31672,52.09167
540.5,62.00115,56.42302
541,61.38466,60.44401
541.5,60.44588,63.97666
542,59.25955,66.90671
542.5,57.85044,69.16189
543,56.32313,70.75476
543.5,54.77457,71.65996
544,53.28053,71.96192
544.5,51.93834,71.70392
545,50.8041,70.9273
545.5,49.8868,69.70214
546,49.195,68.12911
546.5,48.73196,66.2928
547,48.48845,64.31825
547.5,48.44087,62.30165
548,48.5632,60.37395
548.5,48.83738,58.59486
549,49.23214,57.07198
549.5,49.70873,55.80403
550,50.19715,54.83394
550.5,50.69183,54.13374
551,51.12082,53.65036
551.5,51.45608,53.27781
552,51.66517,52.89941
552.5,51.73161,52.37239
553,51.65345,51.55524
553.5,51.43392,50.33037
554,51.10432,48.66523
554.5,50.66352,46.57912
555,50.15497,44.21976
555.5,49.62218,41.772
