Photon energy (eV),n,
2000,0.99993,
1952,0.99992,
1905,0.99992,
1860,0.99991,
1815,0.99991,
1772,0.99991,
1730,0.9999,
1688,0.9999,
1648,0.99989,
1609.00,0.99989,
1570,0.99988,
1533,0.99987,
1496,0.99987,
1460,0.99986,
1426,0.99985,
1392,0.99985,
1358,0.99984,
1326,0.99983,
1294,0.99982,
1263,0.99981,
1233,0.99981,
1204,0.9998,
1175,0.99979,
1147,0.99978,
1119,0.99976,
1093,0.99975,
1067,0.99974,
1041,0.99973,
1016,0.99971,
992,0.9997,
968,0.99968,
945,0.99967,
923,0.99965,
901,0.99964,
879,0.99962,
858,0.9996,
838,0.99958,
818,0.99956,
798,0.99954,
779,0.99951,
760,0.99949,
742,0.99946,
725,0.99944,
707,0.99941,
690,0.99938,
674,0.99935,
658,0.99932,
642,0.99928,
627,0.99925,
612,0.99921,
597,0.99917,
583,0.99913,
569,0.99909,
555,0.99904,
542,0.99899,
529,0.99894,
516,0.99889,
504,0.99884,
492,0.99878,
480,0.99872,
469,0.99866,
458,0.99859,
447,0.99852,
436,0.99845,
426,0.99837,
415,0.99828,
406,0.99821,
396,0.99812,
386,0.99802,
377,0.99792,
368,0.99782,
359,0.99771,
351,0.9976,
342,0.99747,
334,0.99735,
326,0.99722,
318,0.99708,
311,0.99695,
303,0.99678,
296,0.99663,
289,0.99646,
282,0.99629,
275,0.99609,
269,0.99592,
262,0.9957,
256,0.99549,
250,0.99527,
244,0.99504,
238,0.99478,
232,0.99451,
227,0.99427,
221,0.99395,
216,0.99367,
211,0.99336,
206,0.99304,
201,0.99269,
196,0.99231,
191,0.9919,
187,0.99155,
182,0.99108,
178,0.99068,
174,0.99024,
170,0.9898,
166,0.9893,
162,0.9887,
158,0.9882,
154,0.9875,
151.2,0.9871,
147.6,0.9865,
144.2,0.986,
140.9,0.9855,
137.8,0.9853,
134.8,0.9854,
131.9,0.9858,
129.2,0.9868,
126.5,0.9872,
124,0.9874,
121.6,0.9865,
119.2,0.9851,
117,0.9841,
114.8,0.9848,
112.7,0.9844,
110.7,0.9822,
108.8,0.9828,
106.9,0.9867,
105.1,0.9858,
103.3,0.9839,
101.6,0.9823,
99.99,0.9813,
98.4,0.9803,
96.86,0.9794,
95.37,0.9789,
93.93,0.9778,
92.53,0.977,
91.17,0.9761,
89.84,0.9747,
82.66,0.9634,
77.49,0.9608,
72.93,0.9562,
68.88,0.9509,
65.26,0.9458,
61.99,0.9416,
59.04,0.9386,
56.36,0.9328,
53.91,0.9271,
51.66,0.9222,
49.59,0.9164,
47.69,0.9105,
45.92,0.9207,
44.28,0.9175,
42.75,0.9137,
41.33,0.913,
40,0.907,
38.75,0.901,
37.57,0.895,
36.47,0.888,
35.42,0.882,
34.44,0.877,
33.51,0.87,
32.63,0.866,
31.79,0.858,
31,0.851,
30.24,0.845,
29.52,0.839,
28.83,0.833,
28.18,0.827,
27.55,0.822,
26.95,0.817,
26.38,0.813,
25.83,0.808,
25.3,0.804,
25,0.733,
24.8,0.803,
24.31,0.804,
24,0.753,
23.84,0.806,
23.39,0.811,
23,0.774,
22.96,0.817,
22.54,0.822,
22.14,0.829,
22,0.797,
21.75,0.833,
21.38,0.843,
21.01,0.851,
21,0.827,
20.66,0.862,
20,0.859,
19.5,0.879,
19,0.902,
18.5,0.927,
18,0.957,
17.75,0.975,
17.5,0.999,
17.25,1.03,
17,1.072,
16.75,1.124,
16.5,1.137,
16.25,1.156,
16,1.172,
15.75,1.178,
